name,active,comment,info_link,portrait_link
ROBERTSON,fl. 1880s,,,
"ROBERTSON, Colin Charles",-1946,Forester,notes,
"ROBERTSON, Enid Lucy, Mrs, nee ASHBY*",1925-2016,"Botanist, phycologist, ecologist, SA",notes,portrait
"ROBERTSON, James",,,,
"ROBERTSON, John George",1803-1862,"Scotish pastoralist, collector, Tas, Vict, SA, specimens at Kew, UK",notes,
"ROBERTSON, Rutherford Ness, sir",1913-,Botanist,,portrait
"ROBERTSON, William Naismith",-1844,Gardens Superintendent,,
"ROBINSON, Adelaide Victoria",1884-1963,Collected for Mueller in Vic.,notes,
"ROBINSON, Barrie",fl.1950-80,Teacher,,
"ROBINSON, C.S.",fl.1965-78,,,
"ROBINSON, G.D.",,,,
"ROBINSON, George Augustus",1788-1866,Protector of Aborigines,,portrait
"ROBINSON, Gerald H.",fl.1890s-1908,,,
"ROBINSON, Isaac",fl.1884,,,
"ROBINSON, Miss",fl.1894-99,Collected for Mueller in Vic.,notes,
"ROBINSON, Thomas Alfred",1852-1943,,,
"ROCKLEY, Alicia Margaret, Lady, nee AMHERST",1865-1941,"Author, illustrator",,
"ROCKLEY, Christine",fl. 2010s,Botanical and natural history artist,notes,
"RODD, Anthony Norman",1940-,Botanist,,
"RODEN, Robert [Bob]",fl. 1982,Illustrator,,
"RODGER, Geoffrey James",1894-,"Forester, Director-General of Forestry",,
"RODWAY, Frederick Arthur, Dr",1880-1956,Medical officer,notes,portrait
"RODWAY, Leonard",1853-1936,"Dentist, botanist, naturalist",notes,portrait
"RODWAY, Olive",,,,
"ROE, John Septimus",1797-1878,"Surveyor-General, explorer",notes,portrait
"ROE, R.",fl. 1940s,,,
"ROGERS, Frederick James Charles*",1927-,"Author, teacher",,
"ROGERS, Jean Scott",fl. 1926,"Naturalist, wife of Richard Sanders Rogers.",notes,
"ROGERS, Keith Churchill",1896-1978,"Farmer, naturalist",,
"ROGERS, Richard Sanders, Dr",1862-1942,"Physician, orchidologist",notes,portrait
"ROGERS, Roderick Westgarth, Dr*",1944-,"Ecologist, lichenologist, botanist",,
"ROGERS, Thomas",1827-1901,Cryptogamist,,
"ROHRLACH, K.D.",fl. 1950s,,,
"ROMERO, Edgardo, Prof.",fl.1970-85,Palaeobotanist,,
"ROOM, R.D.",fl. 1980s,,,
"ROPER, A. Miss",fl.1889,Collected for Mueller in Tas.,,
"ROSIER, Stanley Bruce, Rt Rev.*",1928-,"Anglican Bishop, naturalist",,
"ROSS-CRAIG, Stella",1906-,"Artist, botanical illustrator",notes,
"ROSS, Agnes R.",,,,
"ROSS, Elese, Mrs",fl. 1960s,,,
"ROSS, Estelle M., Mrs*",1952-,Botanist,,
"ROSS, James Henderson, Dr",1941-,"Taxonomic botanist, Vic.",,portrait
"ROSS, Mary, nee KEYES (also as 'Miss Mary ROSS)",1840-1872,Collected for Mueller in Qld.,notes,
"ROSS, William John Clunies-, see CLUNIES-ROSS",,,,
"ROSSER, Celia Elizabeth*",1930-,"Botanical illustrator, artist",notes,portrait
ROSSETTO Maurizio,fl. 2000s,"Geneticist, evolutionary ecologist, NSW",,portrait
ROSSITER family,,,,
"ROSSITER, Elizabeth",,,,
"ROSSITER, Olive Blanche, Mrs",,,,
"ROTH, Walter Edmund, Dr",1861-1933,"Anthropologist, explorer",,portrait
"ROTHERHAM, Edward Russell*",1923-,"Photographer, illustrator",,
"ROTHERY, Henry Cadogan",1817-1888,Pteridologist,,
"ROWAN, Marian Ellis, Mrs, nee RYAN",1847-1922,Flower painter,notes,portrait
"ROWLANDS, Evan J.",1934-1971,"Teacher, lecturer",,
"ROYCE, Robert Dunlop*",1914-2008,"Botanist, phycologist, Herbarium Curator",notes,
"ROZEFELDS, Andrew C.F.",1960-,"Botanist, palaeobotanist, palaeontologist",,
"RUBENACH, Leslie Francis",1931-,"Postmaster, orchid collector, photographer",notes,portrait
"RUDDER, Augustus",1828-1904,Forester,notes,portrait
"RUDDER, W.",,,,
"RUDGE, Anne",fl. 1800s-1920s,Botanical artist,notes,
"RULE, Kevin James",1941-,Teacher,notes,
"RUMMEL, L.",?1837-1904,Botanical illustrator,notes,
"RUMMERY, Edward George",1877-1958,Forester,notes,
"RUMSEY, Herbert John",1866-1956,"Lecturer, seedsman, seed seller",notes,
"RUPP, Herman Montague Rucker, Rev.",1872-1956,"Anglican clergyman, orchidologist",notes,portrait
"RUSDEN, G.W.",fl. 1859,,,
"RUSSELL, Hugh",fl. 1896,,,
"RUTTER, Alfred",fl. 1894-95,Teacher,,
"RYAN, Clara Oakley, Mrs, nee GRAHAM",1866-1945,Collected for Mueller in WA,notes,
"RYAN, Kathleen Emily Margaret",1890-1970,Collected for Mueller in WA.,notes,
"RYDER, V., Miss",fl.1920-30,,,
"RYE, Barbara Lynette, Dr, nee POWELL*",1952-,"Herbarium botanist, WA",notes,portrait
"RYLAND, Annie Eliza",1850-1934,Collected for Mueller in Vic.,notes,
"RYLAND, James Herman",fl.1880s,Collected for Mueller in Vic.,,
"SAHNI, Birbal",1891-1949,Palaeobotanist,,
"SAINT VINCENT, Jean-Baptiste Bory de",1778-1846,"Artist, explorer, illustrated algae, France",,
"SALASOO, Hugo",1901-1991,"Doctor of Pharmacy, plant collector",notes,portrait
"SALKIN, Alf",1923-2005,"Teacher, banksia collector",notes,portrait
"SALMON, Miss",fl. 1869,"Collected for Mueller in northern Yorke Peninsula, SA",,
"SALTER, Arthur",fl. 1980S,"Photographer, naturalist",,
"SALTER, Barbara",1922-,Naturalist,,
"SAMMY, Nathan",1945-,Lichenologist,,
"SANDERSON, Keith Douglas*",1944-,Forester,,
"SANDILANDS, F. L., see ERICKSON",,,,
"SANDVED, Kjell B.",fl. 1970s-80s,Botanical photographer (USA),,
"SANFORD, H. A.",fl. 1950s,,,
"SANFORD, William Ayshford",1818-1902,"Phycologist, Colonial Secretary",,
"SANKOWSKY, Garry",fl. 1960s-90s,Photographer,,portrait
"SANSOM, Francis",fl. 1780s-1815,Botanical engraver,notes,
SANULZEN,,,,
"SARGENT, Oswald Hewlett",1880-1952,"Pharmaceutical chemist, naturalist",notes,
"SATTERTHWAIT, Donna R., Dr",fl. 1980s,Botanist,,
"SAUL, Margaret A.",1951-,Botanical artist,notes,
"SAUVAGE, C. G.",fl. 1800-1820,Botanical artist,notes,
"SAVAGE, H.",,,,
"SAWITSKY, R. M., see RICHARDSON",,,,
"SAWYER, William Collinson, Rt Rev.",1831-1868,Bishop of Grafton and Armidale,,
"SAYER, Victor",fl.1887-89,,,
"SAYER, W. A.",fl.1886-97,"Naturalist, plant collector",notes,
"SCAMMELL, George V.",fl.1920s-40s,Orchid illustrator,,portrait
"SCARLETT, Cheryl",,Algae and lichen collector,,
SCARLETT. Neville Harry*,1944-,Ecologist,,
"SCARTH-JOHNSON, Vera, Mrs",1912-1999,"Flower painter, botanical illustrator, Qld.",notes,portrait
"SCHIPP, William A.",1891-1967,,,
"SCHLIPALIUS, Carl Gustav [later anglicised to Charles Gustave]",1824-1897,Employed Melb Bot. Gdns. 1850-91,,portrait
"SCHLIPALIUS, Charles Leopold [or Leopold Charles ?]",1850-1927,Employed Melb Bot. Gdns.,notes,
"SCHMIDT, Capt.",fl. 1900,,,
"SCHNEIDER, E.",fl.1870-1971,,,
"SCHNEIDER, Henry, later CARLTON",fl.1891-1917,,,
"SCHOCK, Frederick Michael Christian",c.1871-1923,"Forrester, seed collector",notes,
"SCHODDE, Richard, Dr",1936-,"Botanist, zoologist",,
"SCHOENFELD, Frederick",c.1810-1868,Botanical artist for Mueller,,
"SCHOENFELD, Freiderich",c.1810-1868,"Botanical artist, worked for Mueller, lithographer, Vic",notes,
"SCHOFIELD, J. F.",,,,
"SCHOFIELD. W. B., Prof.",fl. 1983,Bryologist,,
"SCHOMBURGK, Moritz Richard von, Sir",1811-1890,"Gardens Director, author",notes,portrait
"SCHROEDER, Rudolf",,,,
"SCHUBERT, P. H.",fl. 1940s,,,
"SCHULTZ, F.R.",,,,
"SCHULTZ, M., Rev.",fl. 1860s,Missionary,notes,
"SCHULTZE, Frederick",fl.1869,Botanist,,
"SCHULZE, L.",fl. 1870s,,,
"SCHULZEN, Ludwig Wilhelm, Dr",fl. 1840s-50s,Botanist,,
"SCHUSTER, Robert",fl. 1875,,,
"SCHUSTER, Tanja",fl. 2013,"Research Fellow in Plant Systematics, Melb Uni",,
"SCHUURMAN, Jan Albert",1888-,"Diplomat (Nlds), Education Chief (Indonesia)",,
"SCHWARZ, W. F., Rev.",fl. 1888,Missionary,,
"SCORTECHINI, Benedictto [Benedetto], Rev.",1845-1886,Botanist,notes,portrait
"SCOTT, Dunkinfield Henry, Prof.",1854-1934,Palaeobotanist,,
"SCOTT, E. O. E.",,,,
"SCOTT, George Anderson Macdonald, Dr*",1933-,"Botanist, bryologist",,portrait
"SCOTT, Harriet (later Mrs MORGAN)",1830-1907,"Biological artist, collected for Mueller in NSW, Qld",notes,
"SCOTT, Helena  (later Mrs  FORDE)",1832-1910,"Biological artist, collected for Mueller in NSW",notes,portrait
"SCOTT, J. I. M.",fl. 1906-15,,,
"SCOTT, J. W.",fl. 1826-31,"Gardener, seedsman",,
"SCOTT, James Reid",1839-1877,"Politician, botanist",,
"SCOTT, Margaret Cochrane",1825-1919,SA wildflower painter,notes,
"SCOTT, Thomas, ?Dr",1800-1855,,,
"SCOTT. James, Dr",1790-1837,"Physician, surgeon",,
"SCRYMGEOUR, E. M., see BENNETT",1942-,Botanist,notes,portrait
"SEALEY, Edmund Grey",fl.c.1823-64,,,
"SEARLE, James",-1947,Naturalist,,
"SEAWARD, Mark Richard David, Dr*",1938-,"Botanist, lichenologist",,
"SEE, Ann",fl. 1980s,Bryologist,,
"SEEMANN, Berthold Carl",1825-1871,Botanist,,
"SELKIRK, Andrew Brickell",1912-,Forester,,
"SELLIER, Sohn Louis",1757-c.1835,Botanical engraver,notes,
"SELLING, Olof H.",fl. 1950,Palaeobotanist,,
"SELWYN, Arthur Richard Cecil",1824-1902,"Geologist, Director of Geological Survey",,
"SEMMENS, Edwin James",1886-1981,"Teacher, botanist, councillor",,
"SEMPER, Carl Gottfried [Franz Wilhelm Stever DIETRICH]",1789-1844,Botanist,,
"SEPPELT, Roderick D.",fl. 1970s-90s,"Bryologist, lichenologist ADV",,
"SERVENTY, Dominic Louis, Dr",1904-1988,"Ornithologist, writer",,
"SERVENTY, Vincent Noel",1916-2007,"Naturalist, author, photographer, broadcaster",,portrait
"SEUR, Julie G., Mrs",1918-,Botanical assistant,,
"SEVE, Jacques Eustache de",1742-early 1800s,Botanical artist,notes,
"SEVEREYNS, Guillaume",fl.1895,"Engraver, chromolithographer, Belgium",,
"SEWARD, Albert C., Sir",1863-1941,Palaeobotanist,,
"SEWELL, Geraldine, Miss",1861-1900,Collected for Mueller in WA,notes,
"SEWELL, Julia, Miss",1847-1914,Collected for Mueller in WA,notes,
"SEWELL, Maud,   (later Mrs SKEWES)",1875-1955,Collected for Mueller in WA,notes,
"SHANLEY, S.",,,,
"SHANN, William",fl.1880,,,
"SHARLAND, Frances Sara, Mrs,",1813-1859,Algal collector,,
"SHARLAND, Frederick Burnett, Rev.",1846-1934,Anglican clergyman,,
"SHARPE, Philip Ridley",1915-,Herbarium technical aide,,
"SHAW, Dorothy, Dr",fl. 1960s-80s,Pathologist,,
"SHAW, Elizabeth Anne [Betsy]",1938-,"Botanist, post-grad at Adelaide 1960s from USA",,portrait
"SHAW, H.K.A., see AIRY SHAW",,,,
"SHELDON, J. J.",fl.1937,,,
"SHEPHERD, Clifford Jack",1921-1988,"Fungal pathologist, author",notes,
"SHEPHERD, Frank MacPherson",1922 – 2004,"Radio engineer, Ranunculus collector",notes,portrait
"SHEPHERD, Patrick Lindsay Crawford",1831-1903,,notes,
"SHEPHERD, Scorseby Arthur",1935-,"Botanist, phycologist",,portrait
"SHEPHERD, Thomas",1779?-1835,Nurseryman,notes,
"SHEPHERD, Thomas William",1824-1884,Nurseryman,notes,
"SHEPHERT, Richard",1825-1885,"Artist for Mueller, esp. plant fossils, Vic.",,
"SHEPLEY, E.R., see GREEN",,,,
"SHERKAN, Albert",,Painter,,
"SHERRIN, T. V.",fl. 1920s,,,
"SHIELS, Marjorie Isabel, [nee COLLINS]",1895-1970,"Botanist, ecologist",,
"SHIPTON, Warren A., Dr",,Botanist,,
"SHIRESS, David William Campbell",c.1862-1944,"Accountant, amateur botanist",notes,
"SHIRLEY, John Francis",1849-1922,"Teacher, Schools Inspector, lichen &amp; fossil collector",notes,portrait
"SHOOBRlDGE, David William*",1913-2000,"Forester, parks &amp; gardens director",notes,portrait
"SHORT, Philip Sydney, Dr*",1955-,"Herbarium botanist, Vict.",,
"SHORT, Robyn Mary, see BARKER",,,,
"SHORT, Thomas Kier",fl. 1838,,,
SIBELIUS,fl. 1780s,Botanical engraver,,
"SIEBER, Franz Wilhelm, Dr [?SIEBER, Franz Xavier]",1789-1844,Professional collector,notes,
"SIEGERT, R.",,,,
"SIEMSSEN, G. Theodor",fl.1839-80s,Merchant,notes,portrait
"SIM, A. Miss",fl.1894-96,"Collected for Mueller near Loddon R., Vic.",,
"SIMMONDS, J. H., Jnr",,,,
"SIMMONDS, Joseph Henry, Rev.",1845-1936,"Methodist minister, eucalyptologist",notes,
"SIMMONS, Dianne Margaret, Dr*",1949-,Botanist,,
"SIMMONS, Henry George",1889-1974,"Rockhampton Botanic Gardens staff, Qld.",notes,
"SIMMONS, John Grant*",1925-,"Natural historian, photographer",,
"SIMMONS, Marion Helen, Mrs*",1927-,"Natural historian, illustrator",,
"SIMMONS, Richard J.",1862-1940,Rockhampton Botanic Gardens staff,notes,
"SIMON, Bryan Kenneth*",1943-2015,"Herbarium botanist, grass specialist, S. Africa, Qld",notes,portrait
"SIMON, Jean",?1675-1751,Botanical engraver,notes,
"SIMPFENDORFER, Kenneth J.",1922-1985,"Forester, author",,
"SIMPSON, George",,,,
"SIMPSON, M. J. A.",fl.1960s-70s,,,
"SIMS, H. J.",fl. 1950s,Ecologist,,
"SIMSON, Augustus",1836-1918,Naturalist,notes,
"SINCLAIR, Andrew",c.1796-1816,Surgeon,,
"SINCLAIR, James",1809-1881,"Landscape gardener, artist",,
"SINGLETON, J. L.",,,,
"SINGLETON, Owen",,Ecologist,,
"SINGLETON, Owen",,Geologist,,
"SINKORA, Doris Martha, Mrs",1927-,"Phycologist, translator",,
"SINNOTT, Nigel Hugh*",1944-,mycologist,,
"SKERTCHLY, Sydney Barber Jostah",1850-1926,"Geologist, botanist",,
"SKEWES, C. I., Miss, see MUNTZ",,,,
"SKEWES, Maud, nee SEWELL [joint collections labelled G. Sewell]",fl.1890-92,Collected for Mueller in WA,notes,
"SKOTTSBERG, Carl, Prof.",1880-1963,Botanist,,
"SKUSE, F. A. A.",,,,
"SLATER, Eliza, nee WIMSTON",1829-1895,Collected for Mueller in Qld.,notes,
"SLATER, Ernest William",fl.1930s,Collector of orchid Rhizanthella slateri,,portrait
"SLATTER, John Whewell",1829-1896,,,
"SLUITER, Ian",1955-,Palynologist,,
"SMEATON, Thomas Drury",c.1832-1908,Bank clerk,,
SMITH,fl.1930s-40s,,,
"SMITH-WHITE, Spencer, Prof.",fl. 1942,Geneticist,,
"SMITH, A.",fl. 1891,,,
"SMITH, Basil Herbert*",fl. 1925-,"Farmer, amateur naturalist",,
"SMITH, Cecil James",1888-,Forester,notes,
"SMITH, Charles",fl. 1796,,,
"SMITH, Charlotte, Mrs, nee MACDONALD",?1809-1838,Orchid and algae collector,,
"SMITH, Christopher",-1807,Botanist,notes,
"SMITH, Dianne, Miss",,Herbarium assistant,,
"SMITH, Dorothy A., Mrs, nee GOY",1930s-40s,Pteridologist,,
"SMITH, E. J.",,,,
"SMITH, Edwin Dalton",1800-?1852,Botanical artist,notes,
"SMITH, Frederick William",1797-1835,"Botanical artist, engraver",notes,
"SMITH, G.P. Darnell, see DARNELL-SMITH",,,,
"SMITH, Gabriel",1724-1783,"Botanical engraver, London, Paris",notes,
"SMITH, Gordon Gregor",1920-,Botanist,,
"SMITH, H.B.",fl. 1880s,Woodcut engraver,notes,
"SMITH, Henry George",1852-1924,Phytochemist,notes,
"SMITH, J. Miss",fl.1896,"Collected for Mueller on Murray R., Vic, NSW, SA",,
"SMITH, James",fl. 1894,,,
"SMITH, James Edward, Sir",1759-1828,"Medical doctor, botanist (did not visit Australia)",notes,portrait
"SMITH, John Grant",fl. 1830,,,
"SMITH, Lieut.",fl.c.1860,,,
"SMITH, Lindsay Stuart",1917-1970,Botanist,notes,portrait
"SMITH, Matilda",1854-1926,Botanical illustrator,notes,
"SMITH, Miss",fl.1896,"Collected for Mueller near York, WA",,
"SMITH, Raymond Vaughan*",1923-2011,Systematic botanist,,
"SMITH, William Alexander",1954-,Botanical artist,notes,
"SMITH, Winifred (Winnie) Jane, Miss",1876-1951,Collected for Mueller in Vic.,notes,
"SOLANDER, Daniel",1733-1782,"Naturalist, librarian",notes,portrait
"SOMERSET, Henry Beaufort, Sir",1906-1995,"Industrialist, University Chancellor, orchid enthusiast, Tas",notes,portrait
"SOMERVILLE, Janet, Miss",1887–1969,"Historian, botanist",,
"SONSEE, Cecil Allan",1912-1985,"Teacher, naturalist",,
"SOUBS, Emanuel Lindsay",fl. 1800s,Gardener,,
"SOUES, John Lindsay",1875-1962,Mechanic,,
"SOUNNESS, Christopher Julius",1968-,Seed collector,notes,
"SOURRY, Louis",fl.1960s-80s,"Botanist, photographer",,
"SOUSTER, J.",fl. 1946-48,Gardener,,
"SOWERBY, James",1757-1822,"Botanical artist, engraver",notes,
"SPAFFORD, Walter John",1884-1962,Agricultural officer,notes,
"SPALDING, George",-?1975,Horticulturist,,
"SPALDING, H. A.",fl. 1883,,,
"SPECHT, Raymond Louis, Prof.*",1924-,"Botanist, ecologist",,
"SPECK, Nathaniel Henry, Dr",1906-1970,"Botanist, illustrator",notes,
"SPENCE, D. W.",,,,
"SPENCE, James, Dr",fl. 1821-32,,,
"SPENCER, C.G. Mrs = Jessie SPENCER",1859-1936,Collected for Mueller in Qld.,notes,
"SPENCER, G. L., Mrs",,,,
"SPENCER, Jessie, nee HUBBARD",1859-1936,Collected for Mueller in Qld.,notes,
"SPENCER, Roger D., Dr*",1945-,Horticultural botanist,notes,portrait
"SPENCER, W.",fl. 1880s,Algae collector,,
"SPENCER, Walter Baldwin, Prof. Sir",1860-1929,"Biologist, author, anthropologist",notes,portrait
"SPICER, William Webb, Rev.",1820-1879,"Botanist, writer",notes,
"SPONG, Edward Nash",1818-1907,"Lighthouse keeper, Tas.",,
"SPONG, Mary, nee LAWRENCE",c.1834-1891,Collected for Mueller in Tas.,notes,
"SPOONER, Antony Godfrey, Dr*",1927-1997,"Physician, field naturalist",,portrait
"SQUIRES, V. R.",fl. 1969,Botanist,,
"ST CLOUD, S.",fl. 1968,Botanist,,
"ST JOHN, Percival Reginald Harry",1872-1944,"Botanist, gardens taxonomist, label writer,",notes,
"ST VINCENT, J.B.G. de BORY, see BORY de ST VINCENT",,,,
"STACEY, Conway Ivan",1927-,Organic chemist,,
"STACKHOUSE, Thomas",-1886,Naval Commander,notes,
"STAER, John",1850-1933,"Seedsman, nurseryman",notes,portrait
"STAHL, Crystal",fl. 1960s,Botanical artist,notes,
"STAHR, Johann Ernst Ferdinand",1850-1933,"Seedsman, nurseryman",notes,portrait
"STAIGER, Karl Theodore",1833-1888,"Government Analyst, nature printer",notes,
"STAIR, John B., Rev.",,,,
"STANBERG, Leonie Clare",1964-,"Herbarium officer, Sydney",notes,
"STANLEY, Lieut.",,,,
"STANLEY, Owen",fl. 1839-1849,Artist,,
"STANLEY, S. T.",,Botanist,,
"STANLEY, Trevor Donald*",1952-,Botanist,,
"STARK, Tony",fl. 1980s,,,
"START, Antony Noel",1946-,Biologist,,
"STATHAN, Carmel, Mrs",fl. 1970s,Botanist,,
"STAUFFER, Hans Ulrich",1929-1965,Botanist,,
"STEAD, Thistle Yolette, nee HARRIS*",1902-1991,"Natural history Instructor, biologist, author",,portrait
"STEEDMAN, Henry",c.1866-1953,"Gardener, plant collector",notes,
"STEEL, T.",fl.1900,mycologist,,
"STEELE, Halina",fl. 2000s,Botanical illustrator,notes,
"STEENIS, C.G.G.J. van, see VAN STEENIS",,,,
"STEPHENS, T.",fl.1880,,,
"STEPHENS, Thomas D.",,,,
"STEPHENS, William",-1866,Gardens collector,,
"STEPHENSON, Lawrence",fl. 1886,Botanist,,
"STEPHENSON, William",fl. 1810s-1863,Surgeon,notes,
"STEPNELL, Kenneth",fl. 1970s-80s,Photographer,,
"STEVENS, Gweneth Nell*",1934-,"Botanist, lichenologist",,
"STEVENS, Samuel Roscoe",1924-,"Medical doctor, farmer, bee-keeper",notes,
"STEWART, Hugh Charles Euro",1889-1972,Naturalist,,
"STEWART, John",1845-1932,"Stock agent, amateur plant collector, Berry",notes,portrait
"STEWART, Mrs",fl.1880s,"Collected for Mueller near St. Arnaud, Vic.",,
"STICHT, R.",,,,
"STICKLAND, John",fl. 1880S,Phycologist,,
"STIRLING, Amy Livingstone, (later Mrs HARRISON)",1880-1945,Collected for Mueller in Vic.,notes,
"STIRLING, Edward Charles, Sir",1848-1919,"Botanist, artist",,
"STIRLING, Ellen, Lady",1807-1874,"Sister of Captain James Mangles, possibly collected",notes,
"STIRLING, James",1852-1909,"Lands Officer, surveyor, geologist botanist",notes,
"STIRLING, James, Sir",1791-1865,"Governor, naval commander",notes,portrait
"STIRLING, R.",,,,
"STOATE, Theodore Norman, Dr",1895-1979,Conservator of Forests,notes,
"STOCKER, Geoffrey Charles",1941-,Forest ecologist,,
"STOKES, John Lort",1812-1885,Naval surveyor,,portrait
"STONE, Ilma Grace, Dr*",1913-,"Botanist, bryologist",,portrait
"STONEBURNER, Ann",fl. 1980S,Bryologist,,
"STONES, Ellis",1895-1975,Landscape architect,notes,
"STONES, Elsie Margaret, Miss*",1921-,Botanical artist,notes,portrait
"STOPFORD, G. F.",fl. 1949,,,
"STOPPS, Arthur James",1833-1931,Botanical lithographer,notes,
"STORR, Glen Milton",1921-,"Zoologist, naturalist",,
"STORY, George Fordyce, Dr",1800-1885,Medical practitioner,notes,portrait
"STORY, Robert",1913-1999,Scientist,,
"STOTT, R.",,,,
"STOUT, C.",,,,
"STOVE, Kathie, Ms*",1950-,Botanical Technical Officer,,portrait
"STOVER, Lewis E., Dr",fl. 1970-85,Palynologist,,
"STOWARD, Frederick, Dr",1866-1931,"Government Botanist, pathologist",notes,
"STRAHAN, A",1872-fl.1924,Forests Conunission secretary,,
"STRANGE, Bon, Mrs",,Photographer,,
"STRANGE, Frederick",1926-1854,"Explorer, natural history collector",notes,portrait
"STREIMANN, Heinar*",1938–2001,"Botanist, cryptogamist",notes,portrait
"STRETCH, John*",1947-,Agriculture technical officer,,
"STRICKLAND, John",1937,Botanist,,
"STROM, Allen Axel",,"Teacher, naturalist",,
"STRUDEL, E. J.",,,,
"STRZELECKI, Paul Edmund, de Count, Sir",1797-1873,"Explorer, naturalist",,portrait
"STUART, Charles",1802-1877,"Gardener, botanist",notes,
"STUART, James",1802-1842,"Surgeon, plant painter",,
"STUART, John McDouall",1815-1866,Explorer,notes,portrait
"STUCKEY, Miss",fl. 1880s,Botanical artist,notes,
"STURGISS, James H., (Jim) Major",1890-,Pastoralist,notes,
"STURM, Jakob",1771-1848,Botanical engraver,notes,portrait
"STURM, Johann Georg",1742-1793,Botanical engraver,notes,
"STURT, Charles Capt.",1795-1869,Explorer,,portrait
"STUWE, John",,Botanist,,
SULLIVAN,fl. 1886,Botanist,,
"SULLIVAN, Daniel(?)",1836-1894,"Teacher at Moyston school, Vic, amateur botanist",notes,
"SULLIVAN, David(?)",1836-1895,Plant collector in Victoria and Tas. (?above),notes,
"SULLIVAN, Richard F, Dr",fl. 1868,,,
"SULMAN, Florence",fl. 1900s,"Artist, author",,
"SUMMERELL, Brett A.",1959-,"Plant fungal pathologist, science administrator",notes,portrait
"SUSSMILCH, Carl Adolph von Heyde",1875-1946,Geologist,,
"SUTHERLAND, Joseph",fl. 1876-84,,,
"SUTHERLAND, Merran, Mrs",fl. 1927-28,orchid collector,,
"SUTHERLAND, Richard F., Dr",fl. 1868,,,
"SUTTON, Charles Standford, Dr",1864-1950,"Medical practitioner, botanist",notes,
"SUTTON, Maggie E. &gt;see Nightingale, M.E.",,"Herbarium worker, collector, databaser, ACT",notes,
"SUTTON, Margaret Ann (Miss M. SUTTON)",?-1947,Collected for Mueller in WA.,notes,
"SUTTON, Peter",1936-2005,"Horticulturist, radio broadcaster, ACT",notes,portrait
"SUTTOR, George",1774-1859,"Farmer, pioneer settler, botanist, NSW",notes,portrait
"SWABY, Arthur James",1887-1979,"Teacher, author, naturalist, SGAP founder, Vic",notes,portrait
"SWAIN, Edward Harold Fulcher",1883-1970,"Forests Director, Commissioner, author",notes,portrait
"SWAINSON, William",1789-1855,"Artist, naturalist",notes,portrait
SWANN,fl. 1970s,,,
"SWANN, Joseph",fl. 1821-1872,Botanical engraver,notes,
"SWANSON, John Sinnister",1878-1943,"Station-hand, property owner",notes,
"SWART, Haring Johannes*",1922-,"Botanist, Senior Lecturer",,
"SWINBOURNE, Robert Frederick George*",1936-,"Botanical Technical officer, horticultural adviser, author",,portrait
"SWlNDLEY, Frederick",,,,
"SYME, David",1827-1908,Botanist,,
"SYME, Katrina",1947-,Fungal artist,notes,
"SYMON, David Eric*",1920-2011,"Agronomist, botanist",notes,portrait
"SZENT-IVANY, Maria Louise, Mrs (nee LAKATOS)*",1919-2012,Botanical and entomological illustrator,notes,portrait
"TADGELL, Alfred James",1863-1949,"Accountant, botanist",notes,
"TALBOT de MALAHIDE, Milo John Reginald, Lord",1912-1973,"Author, collector, horticulturist, diplomat",,
"TALBOT, Patrick Henry Brabazon",1919-1979,"Botanist, mycologist",,
"TALENT, John A., Prof.",1932-,"Geologist, palaeontologist",,
"TAME, Terrence Michael (Terry)",1934–2016,"Teacher, plant enthusiast (Acacia), collector, illustrator, NSW",notes,portrait
"TAPP, Percy Stanway",1876-1950,"Artist-photographer, West Australian Newspapers Ltd.",,
"TARDENT, Henri Alexis",1854-1929,Botanist,,portrait
"TARDIEU, L. Duvivier",fl. 1705,"Botanical engraver, France",notes,
"TATE, Ralph, Prof.",1840-1901,"Natural scientist, botanist, professor, SA",notes,portrait
"TATE, Thomas, Dr",1842-1934,"Medical student, botanist, explorer",,portrait
"TAYLOR, A. C",fl. 1940s-50s,,,
"TAYLOR, Alfred J.",1848-1921,Librarian,,
"TAYLOR, Anne, Mrs",,Botanist,,
"TAYLOR, B. W.",fl. 1950s,Botanist,,
"TAYLOR, C. M.",,Botanist,,
"TAYLOR, Campbell",1842-1900,"Explorer, pastoralist",notes,
"TAYLOR, Catherine (Kate) Louisa",1839-1913,Collected for Mueller in WA.,notes,
"TAYLOR, Charlotte,  nee GRESHAM",1862-1945,"Writer, artist, teacher, collected for Mueller in WA.",notes,
"TAYLOR, Ellen H., Miss",fl. 1890,,,
"TAYLOR, Griffith",fl. 1936,"Botanist, scientist",,
"TAYLOR, Jane",fl. 1836-1842,Botanical artist,notes,
"TAYLOR, Joan Margaret",1929-2017,"Technician/botanist, Canberra Botanic Gardens Herbarium, ACT",notes,portrait
"TAYLOR, Marie, Miss",1953-,Botanical Technical officer,,
"TAYLOR, Mary Anne nee FORDE",1849-1920,"Collected for Mueller at Lake Pedder, Tas.",notes,
"TAYLOR, Miss",fl.1890,Collected for Mueller in upper Darling R. NSW,,
"TAYLOR, N.",fl. 1857,,,
"TAYLOR, Norman",1834-1894,"Geologist, botanist",notes,portrait
"TAYLOR, Peter Geoffrey",1926-2011,"British botanist, collected Lentibulariaceae in Aust.",notes,
"TAYLOR, Tom Waker",1882-,Forester,notes,
"TEICHERT, Curt, Dr",fl. 1948,Geologist,,
